Building ,Meter Type,Meter Number,Start Date,End Date,Year ,Usage,Units,Demand,Cost
WWP,Electric,44-1207-0435-8502-3,6/19/2020,7/21/2020,2020,0,kWh,0,$34.88 
WWP,Electric,44-1207-0435-8502-3,5/20/2020,6/19/2020,2020,18,kWh,0.18,$37.06 
WWP,Electric,44-1207-0435-8502-3,4/21/2020,5/20/2020,2020,0,kWh,0,$31.75 
WWP,Electric,44-1207-0435-8502-3,3/23/2020,4/21/2020,2020,0,kWh,0,$31.75 
WWP,Electric,44-1207-0435-8502-3,2/21/2020,3/23/2020,2020,18,kWh,0.36,$37.28 
WWP,Electric,44-1207-0435-8502-3,1/22/2020,2/21/2020,2020,18,kWh,0,$35.63 
WWP,Electric,44-1207-0435-8502-3,12/20/2019,1/22/2020,2020,18,kWh,0.36,$36.78 
WWP,Electric,44-1207-0435-8502-3,11/19/2019,12/20/2019,2019,0,kWh,0.18,$31.30 
WWP,Electric,44-1207-0435-8502-3,10/21/2019,11/19/2019,2019,18,kWh,0.36,$32.93 
WWP,Electric,44-1207-0435-8502-3,9/19/2019,10/21/2019,2019,18,kWh,0.36,$36.08 
WWP,Electric,44-1207-0435-8502-3,8/20/2019,9/19/2019,2019,0,kWh,0.18,$30.33 
WWP,Electric,44-1207-0435-8502-3,7/22/2019,8/20/2019,2019,18,kWh,0.18,$33.45 
WWP,Electric,44-1207-0435-8502-3,6/20/2019,7/22/2019,2019,0,kWh,0.18,$32.26 
WWP,Electric,44-1207-0435-8502-3,5/21/2019,6/20/2019,2019,18.31,kWh,0.18,$33.37 
WWP,Electric,44-1207-0435-8502-3,4/22/2019,5/21/2019,2019,17.69,kWh,0.18,$32.24 
WWP,Electric,44-1207-0435-8502-3,3/22/2019,4/22/2019,2019,9.3,kWh,0.36,$31.09 
WWP,Electric,44-1207-0435-8502-3,2/21/2019,3/22/2019,2019,8.7,kWh,0.36,$29.06 
WWP,Electric,44-1207-0435-8502-3,1/22/2019,2/21/2019,2019,8.57,kWh,0,$30.20 
WWP,Electric,44-1207-0435-8502-3,12/20/2018,1/22/2019,2019,9.43,kWh,0,$33.10 
WWP,Electric,44-1207-0435-8502-3,11/19/2018,12/20/2018,2018,9,kWh,0.18,$31.23 
WWP,Electric,44-1207-0435-8502-3,10/19/2018,11/19/2018,2018,9,kWh,0.18,$31.23 
WWP,Electric,44-1207-0435-8502-3,9/19/2018,10/19/2018,2018,18,kWh,0.54,$32.36 
WWP,Electric,44-1207-0435-8502-3,8/20/2018,9/19/2018,2018,18,kWh,0.54,$32.36 
WWP,Electric,44-1207-0435-8502-3,7/20/2018,8/20/2018,2018,36,kWh,0.54,$38.09 
WWP,Electric,44-1207-0435-8502-3,6/20/2018,7/20/2018,2018,288,kWh,0.36,$94.91 
WWP,Electric,44-1207-0435-8502-3,5/21/2018,6/20/2018,2018,8.85,kWh,0.36,$30.33 
WWP,Electric,44-1207-0435-8502-3,4/20/2018,5/21/2018,2018,9.15,kWh,0.36,$31.35 
WWP,Electric,44-1207-0435-8502-3,3/22/2018,4/20/2018,2018,558,kWh,0.54,$159.34 
WWP,Electric,44-1207-0435-8502-3,2/21/2018,3/22/2018,2018,36,kWh,0.36,$37.71 
WWP,Electric,44-1207-0435-8502-3,1/22/2018,2/21/2018,2018,324,kWh,0.36,$100.48 
WWP,Electric,44-1207-0435-8502-3,12/20/2017,1/22/2018,2018,252,kWh,0.54,$92.46 
WWP,Electric,44-1207-0435-8502-3,11/17/2017,12/20/2017,2017,18,kWh,0,$36.85 
WWP,Electric,44-1207-0435-8502-3,10/19/2017,11/17/2017,2017,144,kWh,0.54,$60.34 
WWP,Electric,44-1207-0435-8502-3,9/19/2017,10/19/2017,2017,684,kWh,3.06,$199.94 
WWP,Electric,44-1207-0435-8502-3,8/18/2017,9/19/2017,2017,1044,kWh,3.06,$296.89 
WWP,Electric,44-1207-0435-8502-3,7/20/2017,8/18/2017,2017,1440,kWh,3.24,$384.34 
WWP,Electric,44-1207-0435-8502-3,6/20/2017,7/20/2017,2017,1530,kWh,3.06,$415.31 
WWP,Electric,44-1207-0435-8502-3,5/19/2017,6/20/2017,2017,1692,kWh,3.42,$456.56 
WWP,Electric,44-1207-0435-8502-3,4/21/2017,5/19/2017,2017,900,kWh,3.6,$245.52 
WWP,Electric,44-1207-0435-8502-3,3/23/2017,4/21/2017,2017,144,kWh,0.54,$59.23 
WWP,Electric,44-1207-0435-8502-3,2/22/2017,3/23/2017,2017,36,kWh,0.36,$37.38 
WWP,Electric,44-1207-0435-8502-3,1/23/2017,2/22/2017,2017,666,kWh,2.88,$181.88 
