,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,Normal
January,807,984,1037,780,903,1086,1123,899,846,1021,988,1008
February,728,812,624,614,769,1136,938,851,680,794,871,861
March,527,734,745,738,499,835,866,755,438,714,520,713
April,428,319,468,246,357,344,412,366,294,354,219,392
May,173,146,57,122,145,53,88,128,69,114,82,136
June,2,4,8,16,2,35,0,4,11,4,0,16
July,0,0,0,0,0,0,0,0,0,0,0,1
August,,0,0,0,0,0,0,0,0,0,0,1
September,,3,9,10,5,3,14,31,9,19,0,40
October,,152,233,76,161,217,166,172,173,223,163,249
November,,607,580,505,378,352,579,577,591,383,461,524
December,,804,750,889,759,435,752,826,681,662,923,836
